Date,Region_Name,Area_Code,Index_SA
1996-11-01,England and Wales,K04000001,18.3
1996-12-01,Wales,W92000004,20.5
1996-12-01,England,E92000001,18.3
1996-12-01,North West,E12000002,20.9
1996-12-01,North East,E12000001,26.7
1996-12-01,London,E12000007,15.3
1996-12-01,East Midlands,E12000004,19.4
1996-12-01,East of England,E12000006,17.1
1996-12-01,South East,E12000008,17.9
1996-12-01,South West,E12000009,17.9
1996-12-01,Yorkshire and The Humber,E12000003,22.3
1996-12-01,West Midlands Region,E12000005,20.6
1996-12-01,England and Wales,K04000001,18.5
1997-01-01,England,E92000001,18.6
1997-01-01,Wales,W92000004,20.3
1997-01-01,North East,E12000001,27
1997-01-01,London,E12000007,15.6
1997-01-01,North West,E12000002,21
1997-01-01,South East,E12000008,18.1
1997-01-01,Yorkshire and The Humber,E12000003,22.4
1997-01-01,South West,E12000009,18.1
1997-01-01,East Midlands,E12000004,19.4
1997-01-01,East of England,E12000006,17.3
1997-01-01,West Midlands Region,E12000005,20.8
1997-01-01,England and Wales,K04000001,18.6
1997-02-01,England,E92000001,18.8
1997-02-01,Wales,W92000004,21
1997-02-01,West Midlands Region,E12000005,20.9
1997-02-01,Yorkshire and The Humber,E12000003,22.4
1997-02-01,London,E12000007,16
1997-02-01,South West,E12000009,18.3
1997-02-01,South East,E12000008,18.4
1997-02-01,North East,E12000001,27.4
1997-02-01,East of England,E12000006,17.5
1997-02-01,East Midlands,E12000004,19.6
1997-02-01,North West,E12000002,21.4
1997-02-01,England and Wales,K04000001,18.9
1997-03-01,England,E92000001,18.9
1997-03-01,Wales,W92000004,20.9
1997-03-01,South East,E12000008,18.6
1997-03-01,West Midlands Region,E12000005,21.1
1997-03-01,East of England,E12000006,17.7
1997-03-01,East Midlands,E12000004,19.7
1997-03-01,North West,E12000002,21.4
1997-03-01,Yorkshire and The Humber,E12000003,22.6
1997-03-01,London,E12000007,16
1997-03-01,South West,E12000009,18.5
1997-03-01,North East,E12000001,27
1997-03-01,England and Wales,K04000001,19
1997-04-01,Wales,W92000004,20.5
1997-04-01,England,E92000001,19
1997-04-01,North West,E12000002,21
1997-04-01,West Midlands Region,E12000005,21.2
1997-04-01,North East,E12000001,27.6
1997-04-01,South West,E12000009,18.5
1997-04-01,East Midlands,E12000004,19.9
1997-04-01,Yorkshire and The Humber,E12000003,22.7
1997-04-01,London,E12000007,16.2
1997-04-01,South East,E12000008,18.7
1997-04-01,East of England,E12000006,17.6
1997-04-01,England and Wales,K04000001,19
1997-05-01,Wales,W92000004,21.1
1997-05-01,England,E92000001,19.2
1997-05-01,West Midlands Region,E12000005,21.4
1997-05-01,Yorkshire and The Humber,E12000003,22.8
1997-05-01,East Midlands,E12000004,19.9
1997-05-01,East of England,E12000006,17.9
1997-05-01,South East,E12000008,19
1997-05-01,London,E12000007,16.5
1997-05-01,North East,E12000001,27.4
1997-05-01,North West,E12000002,21.2
1997-05-01,South West,E12000009,18.6
1997-05-01,England and Wales,K04000001,19.3
1997-06-01,Wales,W92000004,21.3
1997-06-01,England,E92000001,19.3
1997-06-01,North West,E12000002,21.7
1997-06-01,South West,E12000009,18.8
1997-06-01,South East,E12000008,19.2
1997-06-01,Yorkshire and The Humber,E12000003,22.8
1997-06-01,East Midlands,E12000004,19.9
1997-06-01,East of England,E12000006,18.2
1997-06-01,West Midlands Region,E12000005,21.4
1997-06-01,London,E12000007,16.6
1997-06-01,North East,E12000001,27.6
1997-06-01,England and Wales,K04000001,19.4
1997-07-01,Wales,W92000004,21
1997-07-01,England,E92000001,19.5
1997-07-01,North West,E12000002,21.4
1997-07-01,London,E12000007,17
